ROTAS;DISTANCIA;FALHAS;ACIDENTES;VELOCIDADE
R97;1910;0;30;100
R98;2940;230;50;120
R99;2620;290;10;80
R100;2120;30;10;100
R101;3430;230;20;100
R102;2030;60;20;100
R103;3800;170;50;80
R104;3980;170;10;100
R105;3630;160;40;100
R106;1580;280;50;80
R107;650;280;30;80
R108;1830;150;50;100
R109;1320;100;40;80
R110;1690;220;10;120
R111;3120;80;30;120
R112;2310;230;10;120
R113;2910;20;30;120
R114;3730;50;50;100
R115;1490;80;20;120
R116;3610;250;50;100
R117;3220;100;20;120
R118;2160;70;30;120
R119;1870;50;30;100
R120;3360;180;30;100
R121;3760;130;40;120
R122;2220;230;20;80
R123;1410;240;10;120
R124;1680;140;50;120
R125;970;170;30;120
R126;1200;80;50;120
R127;3160;30;50;80
R128;3170;140;20;120
R129;1900;260;50;80
R130;3080;140;10;100
R131;3750;290;10;100
R132;870;220;50;120
R133;3170;60;50;80
R134;1560;250;30;80
R135;3620;240;50;80
R136;1790;30;30;100
R137;2590;50;20;80
R138;3840;110;40;120
R139;2310;20;20;80
R140;1920;250;50;80
R141;3140;270;50;80
R142;1070;100;50;80
R143;2760;110;30;100
R144;2370;110;30;120
R145;3600;0;10;100
R146;660;20;50;120
R147;1590;230;10;80
R148;1610;140;30;100
R149;1070;280;50;100
R150;1790;250;20;100
R151;1920;150;20;120
R152;1660;40;50;120
R153;1080;200;30;80
R154;2840;270;10;80
R155;1480;30;20;120
R156;1660;250;20;120
R157;3940;40;40;100
R158;2480;140;50;80
R159;520;130;10;100
R160;3040;230;50;120
R161;2460;40;40;80
R162;2730;190;50;80
R163;2660;60;50;100
R164;3460;200;40;120
R165;1170;40;40;80
R166;740;60;50;80
R167;2800;130;10;100
R168;960;250;40;100
R169;2680;30;40;100
R170;2430;260;50;120
R171;3790;60;20;100
R172;3370;10;20;80
R173;1070;20;40;100
R174;3600;120;40;100
R175;2820;220;50;80
R176;3670;170;10;80
R177;1120;170;30;120
R178;3500;20;30;120
R179;3960;100;50;100
R180;830;270;10;100
R181;1830;30;30;120
R182;590;270;20;80
R183;740;140;30;120
R184;2290;270;50;80
R185;1600;70;20;80
R186;3000;300;20;120
R187;1960;210;30;120
R188;1640;260;30;100
R189;600;110;50;80
R190;630;30;50;100
R191;3220;0;10;100
R192;2760;230;50;100
R193;1740;80;30;80
R194;740;270;10;100
R195;1100;180;30;80
R196;1990;130;40;100
R197;3150;200;20;100
R198;3070;10;10;80
R199;1110;260;30;80
R200;2250;170;30;80
R201;2830;280;20;80
R202;2780;240;30;120
R203;2940;130;20;80
R204;1610;130;50;120
R205;3390;170;40;80
R206;640;290;20;80
R207;2060;40;20;80
R208;2500;80;40;120
R209;3090;70;50;80
R210;2890;60;40;120
R211;2820;140;10;80
R212;1430;150;50;80
R213;2820;50;20;80
R214;3620;200;10;80
R215;2300;180;20;100
R216;2120;290;20;100
R217;720;60;40;100
R218;3380;290;50;80
R219;2380;260;10;120
R220;2700;270;50;100
R221;2620;280;30;120
R222;1080;130;40;100
R223;2450;110;30;100
R224;2850;70;40;100
R225;3980;210;40;80
R226;840;100;20;100
R227;3730;20;50;100
R228;2660;300;30;80
R229;560;260;10;80
R230;1120;130;20;80
R231;3040;240;30;80
R232;3540;180;40;100
R233;640;10;40;80
R234;1020;130;50;100
R235;1030;30;40;80
R236;3720;240;40;120
R237;2080;40;40;80
R238;3970;300;30;100
R239;2750;260;10;100
R240;3940;80;40;100
R241;570;170;20;100
R242;2280;300;40;100
R243;1210;40;10;100
R244;2830;10;30;120
R245;3240;260;50;120
R246;1640;10;30;80
R247;1210;80;30;100
R248;3960;290;10;100
R249;1010;100;50;100
R250;810;80;20;120
R251;1790;30;40;80
R252;2610;140;40;80
R253;2390;200;20;100
R254;2170;40;50;120
R255;3160;270;20;120
R256;2990;110;50;100
R257;1810;0;40;80
R258;2760;240;10;100
R259;1470;220;10;120
R260;3010;230;10;80
R261;1660;170;10;120
R262;980;300;20;100
R263;3560;140;50;80
R264;3550;290;20;100
R265;2600;100;30;120
R266;2610;150;30;120
R267;710;160;20;100
R268;1470;280;20;80
R269;1970;290;40;100
R270;1720;170;50;120
R271;950;60;10;100
R272;2990;160;20;80
R273;1120;260;30;80
R274;2860;110;30;80
R275;3640;60;10;80
R276;1230;230;10;100
R277;2010;200;30;120
R278;2660;170;20;120
R279;3560;300;20;100
R280;2570;90;50;80
R281;1770;40;10;100
R282;2150;220;40;100
R283;1820;130;20;80
R284;3580;60;50;80
R285;1140;260;20;80
R286;1490;90;20;100
R287;2220;0;10;100
R288;930;160;40;100
R289;2200;120;30;120
R290;1320;20;30;80
R291;3500;160;20;120
R292;1750;280;40;120
R293;1340;300;40;100
R294;510;160;50;80
R295;3900;150;50;100
R296;2310;210;10;100
R297;2740;180;30;120
R298;3980;270;50;100
R299;1160;100;20;120
R300;2020;240;30;120
R301;710;10;30;100
R302;2540;130;50;100
R303;3350;110;30;80
R304;830;180;10;100
R305;3890;200;40;80
R306;940;20;20;100
R307;2690;60;40;120
R308;1270;70;50;80
R309;3610;130;20;80
R310;3600;230;50;120
R311;1630;290;50;120
R312;1780;70;40;100
R313;2160;160;50;80
R314;1270;30;40;80
R315;2120;90;30;100
R316;3780;230;40;100
R317;2670;210;20;120
R318;3210;0;40;120
R319;3680;20;30;100
R320;2180;80;20;120
R321;2140;230;20;100
R322;2360;150;50;120
R323;3610;130;30;100
R324;3450;150;20;120
R325;510;30;50;120
R326;3160;200;30;100
R327;580;100;30;100
R328;700;150;50;100
R329;1700;250;50;120
R330;640;120;50;120
R331;1950;270;40;120
R332;1380;220;20;80
R333;2650;50;50;80
R334;3930;290;30;120
R335;580;60;50;100
R336;3210;140;30;80
R337;620;300;20;120
R338;3460;210;40;80
R339;2880;50;40;80
R340;1550;270;20;80
R341;2120;100;10;80
R342;740;10;50;120
R343;2930;220;50;80
R344;3920;280;30;100
R345;3470;0;40;80
R346;3470;200;50;120
R347;2980;90;30;80
R348;3970;80;10;100
R349;1770;170;50;120
R350;2620;300;20;80
R351;1740;270;30;100
R352;830;290;40;100
R353;3560;240;30;80
R354;1080;60;50;80
R355;1860;210;40;100
R356;3000;30;30;120
R357;1730;170;50;120
R358;2210;210;10;120
R359;590;280;20;120
R360;3440;80;20;100
R361;2780;260;30;100
R362;2070;260;50;80
R363;980;90;50;80
R364;2890;210;50;80
R365;830;150;10;120
R366;3890;50;50;100
R367;1660;270;20;120
R368;2080;110;40;80
R369;3830;30;40;100
R370;1370;40;40;100
R371;3870;0;40;120
R372;2540;150;50;80
R373;3280;80;10;80
R374;3280;90;40;80
R375;2390;60;20;80
R376;1380;280;40;100
R377;2910;230;30;120
R378;1290;70;40;120
R379;560;80;50;120
R380;2110;260;40;100
R381;3550;90;30;80
R382;1830;220;10;80
R383;3800;0;10;100
R384;1480;90;50;80
R385;960;160;40;80
R386;3750;100;40;120
R387;2000;190;20;120
R388;1510;220;10;120
R389;2620;230;20;80
R390;2020;50;30;80
R391;3850;160;20;80
R392;2430;170;40;120
R393;3300;170;40;80
R394;1740;50;30;100
R395;1670;90;10;120
R396;2910;50;30;120
R397;1550;80;20;80
R398;4000;120;40;100
R399;800;60;10;80
R400;3610;110;10;120
R401;2590;240;30;80
R402;1110;270;10;80
R403;3480;120;30;80
R404;2230;60;30;80
R405;1250;190;20;100
R406;1820;220;10;120
R407;2890;40;40;120
R408;2600;220;20;120
R409;840;260;30;80
R410;760;290;30;100
R411;2270;90;40;80
R412;820;120;40;120
R413;2070;190;10;100
R414;3420;170;50;80
R415;1030;70;20;80
R416;2800;270;30;100
R417;3890;190;20;80
R418;2360;180;40;120
R419;620;110;50;80
R420;2870;120;50;100
R421;2100;200;30;80
R422;3530;210;10;80
R423;2590;210;40;120
R424;3170;40;10;100
R425;3620;100;30;100
R426;1270;100;20;120
R427;2810;240;40;80
R428;3920;100;20;120
R429;3330;100;10;120
R430;3760;280;10;120
R431;1530;290;40;100
R432;900;30;40;120
R433;3300;40;50;100
R434;3470;60;10;120
R435;2130;250;30;100
R436;3710;60;10;100
R437;730;80;30;120
R438;2750;30;50;80
R439;3960;290;10;100
R440;2510;130;10;80
R441;790;110;40;120
R442;970;140;30;100
R443;2130;10;50;120
R444;670;280;10;100
R445;3210;160;20;120
R446;1730;180;20;100
R447;3170;300;40;80
R448;1220;170;30;100
R449;1380;130;10;80
R450;950;20;30;120
R451;2720;60;40;120
R452;1450;130;50;120
R453;690;40;50;100
R454;3540;150;50;100
R455;1340;40;10;120
R456;3870;130;10;80
R457;1200;220;10;100
R458;1680;260;40;120
R459;2430;250;10;80
R460;3480;80;30;120
R461;1790;240;30;80
R462;1000;110;40;120
R463;900;110;10;120
R464;720;130;50;100
R465;660;100;40;120
R466;3600;150;10;100
R467;1380;40;10;120
R468;1500;140;40;120
R469;540;300;50;100
R470;4000;120;40;80
R471;3400;220;30;120
R472;3790;120;10;120
R473;2050;130;20;80
R474;500;70;30;100
R475;1030;260;20;80
R476;3140;210;40;100
R477;1410;100;30;80
R478;1880;100;50;100
R479;1250;190;10;120
R480;1290;50;40;100
R481;2460;200;10;80
R482;3320;180;10;100
R483;1250;210;20;80
R484;1630;130;20;120
R485;550;160;20;120
R486;3710;50;20;80
R487;2230;20;10;100
R488;1270;70;10;120
R489;3880;280;10;80
R490;2860;130;30;80
R491;2890;180;20;120
R492;2540;140;30;80
R493;3570;100;40;80
R494;1990;20;30;120
R495;610;300;40;100
R496;900;20;20;120
R497;3370;260;20;80
R498;2280;250;10;100
R499;2720;180;30;120
R500;3750;70;30;100
R501;510;150;10;100
R502;1270;190;20;100
R503;2880;40;20;80
R504;3040;240;20;120
R505;2530;220;20;100
R506;3470;200;40;80
R507;3410;260;40;120
R508;3590;300;30;120
R509;2700;50;40;120
R510;3480;240;30;120
R511;3290;0;30;120
R512;820;110;10;100
R513;2970;190;30;80
R514;2650;130;30;80
R515;3410;120;50;120
R516;3290;140;50;100
R517;970;50;40;100
R518;3450;180;50;100
R519;1620;170;40;120
R520;1650;60;10;80
R521;3480;110;30;100
R522;3590;20;20;100
R523;2380;70;10;120
R524;3560;0;10;100
R525;3720;40;10;100
R526;2410;230;10;80
R527;2420;200;20;100
R528;1390;190;50;100
R529;3970;40;30;80
R530;1760;300;30;100
R531;1330;200;40;80
R532;2590;160;30;120
R533;1800;10;10;80
R534;3560;210;40;100
R535;3070;180;10;100
R536;1090;40;40;120
R537;1040;100;20;100
R538;1850;10;20;100
R539;970;50;30;100
R540;860;130;10;120
R541;3670;30;30;80
R542;2950;160;50;100
R543;1790;40;20;80
R544;1550;290;50;80
R545;2070;0;20;80
R546;2260;70;10;120
R547;820;90;20;120
R548;1550;220;50;80
R549;2680;190;10;120
R550;800;130;10;80
R551;1470;110;10;120
R552;2900;250;20;100
R553;2320;70;10;80
R554;920;10;30;100
R555;1220;80;20;80
R556;730;190;40;100
R557;3530;70;40;120
R558;1490;280;20;100
R559;1510;70;40;80
R560;3900;300;20;100
R561;1920;230;50;100
R562;3100;190;40;80
R563;3910;20;50;80
R564;3740;20;10;100
R565;3290;270;10;120
R566;2130;30;20;100
R567;650;0;30;120
R568;3300;160;20;100
R569;2050;130;10;80
R570;2680;140;30;120
R571;540;200;30;80
R572;1730;110;50;80
R573;3560;60;30;100
R574;2810;10;40;80
R575;1150;160;10;120
R576;540;150;40;100
R577;3210;70;50;100
R578;3140;200;20;120
R579;3830;300;30;80
R580;730;0;50;80
R581;3230;210;10;120
R582;1970;100;30;80
R583;1470;60;30;100
R584;3040;160;50;80
R585;1640;120;20;100
R586;3990;130;50;100
R587;1400;220;10;80
R588;2150;130;20;100
R589;3980;180;10;120
R590;3850;70;40;80
R591;2210;230;40;120
R592;2280;130;40;100
R593;2440;30;20;100
R594;3780;230;20;80
R595;1930;230;10;100
R596;2910;270;40;80
R597;1480;160;20;120
R598;680;180;50;100
R599;2570;180;10;100
R600;3500;300;10;100
R601;2910;270;30;80
R602;1440;170;50;120
R603;3850;270;30;120
R604;1240;200;30;100
R605;3850;70;20;80
R606;1410;300;30;120
R607;3890;240;40;100
R608;3340;240;50;80
R609;3050;260;10;120
R610;530;120;20;80
R611;2440;300;10;80
R612;2300;170;30;100
R613;1010;20;50;100
R614;1300;60;40;100
R615;3610;30;40;80
R616;640;180;50;80
R617;2980;20;50;100
R618;1160;190;10;120
R619;860;50;30;100
R620;3670;180;10;120
R621;630;170;10;120
R622;2920;230;50;120
R623;3390;220;20;120
R624;3850;10;20;100
R625;1040;190;10;100
R626;3330;200;50;100
R627;3110;40;30;80
R628;1260;270;50;120
R629;570;140;10;80
R630;2830;230;40;100
R631;1660;300;30;80
R632;1900;110;30;120
R633;1670;80;40;100
R634;2970;160;30;100
R635;3940;150;50;80
R636;3120;90;10;80
R637;2290;270;30;120
R638;2860;30;40;100
R639;3900;0;20;100
R640;530;280;10;80
R641;980;50;30;120
R642;1100;120;40;120
R643;1860;130;50;80
R644;3030;190;10;80
R645;1560;290;50;100
R646;1510;240;40;80
R647;2340;160;30;80
R648;1740;230;40;80
R649;3410;270;20;80
R650;1480;150;30;80
R651;1490;180;50;100
R652;3240;300;10;80
R653;820;180;30;80
R654;1840;100;10;100
R655;2910;50;30;120
R656;2020;170;10;120
R657;2480;90;30;100
R658;1490;190;50;80
R659;1320;230;30;100
R660;2640;190;40;100
R661;590;160;50;120
R662;3680;260;20;80
R663;1200;290;50;120
R664;2630;20;50;100
R665;2570;200;10;100
R666;2780;250;20;100
R667;2010;60;30;100
R668;3220;300;20;100
R669;2720;190;20;80
R670;3530;240;50;120
R671;1240;230;30;80
R672;3720;200;10;100
R673;2590;150;50;100
R674;3350;300;20;120
R675;2040;220;10;100
R676;1240;50;40;80
R677;3090;260;50;80
R678;3380;200;40;120
R679;1460;300;50;100
R680;740;110;10;80
R681;1300;110;20;100
R682;2620;90;20;80
R683;1570;10;40;120
R684;3880;270;50;120
R685;1640;120;30;120
R686;590;270;30;100
R687;3260;0;20;120
R688;860;90;30;120
R689;1560;230;40;120
R690;3280;170;40;120
R691;3280;160;30;100
R692;1710;240;10;120
R693;1050;250;10;120
R694;3420;300;40;100
R695;3000;120;20;120
R696;640;170;10;120
R697;2100;250;10;100
R698;2980;80;30;80
R699;940;210;20;80
R700;2700;100;20;120
R701;3280;180;40;100
R702;3590;190;50;80
R703;3390;90;10;80
R704;710;90;20;120
R705;2780;110;40;80
R706;3980;100;10;80
R707;2270;300;30;80
R708;3780;300;30;80
R709;3740;280;20;80
R710;1440;30;40;100
R711;3390;60;20;100
R712;2900;190;20;120
R713;1090;10;30;80
R714;1120;290;50;120
R715;2990;300;50;80
R716;1300;250;50;80
R717;630;140;30;80
R718;3840;90;10;120
R719;600;220;20;120
R720;3280;280;20;80
R721;2460;220;40;100
R722;3280;240;40;100
R723;1490;50;10;100
R724;1240;190;50;120
R725;2100;190;10;100
R726;3010;180;20;80
R727;3010;100;30;80
R728;3810;200;10;80
R729;860;10;30;80
R730;980;50;30;120
R731;1580;70;50;120
R732;2720;160;40;120
R733;2990;230;40;80
R734;3500;10;20;100
R735;1010;300;50;100
R736;1200;120;30;120
R737;2810;80;20;80
R738;3550;240;50;80
R739;1580;170;20;120
R740;990;130;20;80
R741;3110;260;10;100
R742;3070;30;20;80
R743;2380;90;50;120
R744;1980;170;20;100
R745;1220;90;40;120
R746;2670;110;20;80
R747;2130;290;30;120
R748;1560;80;40;100
R749;1030;250;50;80
R750;3630;90;40;120
R751;1170;280;50;100
R752;2470;40;40;80
R753;3950;130;30;120
R754;2480;260;50;80
R755;2120;160;40;100
R756;3760;100;40;80
R757;1450;270;30;100
R758;870;130;40;120
R759;2920;130;40;80
R760;1980;260;40;100
R761;3800;210;30;120
R762;2160;220;30;100
R763;1990;40;20;80
R764;3760;260;30;100
R765;620;270;40;80
R766;2170;20;50;100
R767;3030;40;20;80
R768;1870;190;10;100
R769;3580;290;30;120
R770;1550;100;20;80
R771;2080;230;10;100
R772;1440;40;50;120
R773;540;220;30;80
R774;1340;300;20;80
R775;2400;240;10;120
R776;2760;110;50;120
R777;3490;50;10;120
R778;1110;290;40;120
R779;3440;140;40;120
R780;1600;130;40;100
R781;3500;220;50;120
R782;3910;270;40;100
R783;3260;90;50;80
R784;1670;20;30;80
R785;2140;270;10;120
R786;3720;230;40;120
R787;3930;70;40;100
R788;1360;20;50;120
R789;2010;280;50;80
R790;1830;240;50;100
R791;3760;160;40;100
R792;2510;210;10;80
R793;2790;190;30;100
R794;1560;260;10;100
R795;1060;300;20;100
R796;3760;80;40;100
R797;1250;150;20;100
R798;3040;230;10;120
R799;3160;160;30;120
R800;550;150;10;100
R801;2980;150;10;120
R802;2520;90;50;120
R803;580;60;30;100
R804;1990;60;20;100
R805;1050;120;50;80
R806;1040;70;30;100
R807;3310;200;20;120
R808;3670;100;10;80
R809;2450;200;10;80
R810;890;130;50;120
R811;3440;40;40;80
R812;750;10;40;120
R813;820;80;20;120
R814;3460;100;40;120
R815;1030;170;30;100
R816;1670;40;40;120
R817;730;300;20;80
R818;2080;250;50;80
R819;2740;60;20;80
R820;3170;250;40;120
R821;1040;0;30;80
R822;640;300;50;120
R823;3990;40;50;120
R824;1920;220;30;120
R825;2590;90;40;80
R826;2310;30;20;120
R827;1710;10;50;120
R828;2250;50;40;120
R829;2810;230;20;100
R830;2520;290;10;120
R831;1180;180;40;80
R832;3410;110;40;80
R833;3080;180;10;100
R834;3350;100;20;80
R835;2910;220;10;100
R836;3970;250;40;80
R837;3910;40;30;80
R838;2380;290;30;120
R839;3780;280;20;80
R840;3410;170;20;80
R841;3910;200;20;80
R842;3060;180;30;100
R843;2010;150;10;120
R844;590;220;40;100
R845;1590;50;20;100
R846;950;130;50;120
R847;2430;230;20;80
R848;3390;150;40;80
R849;620;240;40;80
R850;2510;300;20;100
R851;1810;120;10;80
R852;1880;160;10;100
R853;1920;220;20;80
R854;2140;290;20;100
R855;3750;290;10;80
R856;3310;190;40;80
R857;1630;20;30;100
R858;520;130;50;80
R859;2930;40;40;80
R860;2530;60;50;100
R861;580;50;40;100
R862;1410;150;40;120
R863;1790;110;10;120
R864;2810;10;30;120
R865;2570;80;20;120
R866;1580;40;20;80
R867;2830;210;20;100
R868;1370;170;30;120
R869;820;260;10;80
R870;3860;80;10;80
R871;2210;220;30;120
R872;1790;250;30;120
R873;2640;130;50;100
R874;3520;100;40;120
R875;3820;20;30;100
R876;1680;280;20;120
R877;2400;0;40;80
R878;2430;270;40;80
R879;1060;220;50;120
R880;1650;90;40;120
R881;3250;180;10;100
R882;2720;220;30;80
R883;3510;220;20;80
R884;3240;30;50;120
R885;1640;100;20;100
R886;3490;70;50;80
R887;1510;250;30;100
R888;680;250;40;80
R889;2290;20;20;120
R890;960;210;40;80
R891;2620;110;40;120
R892;1580;90;20;100
R893;1850;260;40;100
R894;3350;80;50;120
R895;1150;90;50;80
R896;1160;140;40;120
R897;2140;300;30;120
R898;700;50;50;120
R899;850;130;20;80
R900;2600;220;50;100
R901;1770;140;40;80
R902;3510;280;10;80
R903;2370;180;50;100
R904;610;280;10;120
R905;670;270;40;100
R906;1050;40;40;80
R907;2650;230;10;100
R908;2640;260;40;80
R909;2760;140;20;120
R910;3390;170;50;120
R911;3030;250;30;80
R912;1620;150;30;120
R913;3290;10;40;100
R914;940;0;20;120
R915;2210;200;20;120
R916;880;20;50;120
R917;2740;170;30;120
R918;1380;150;50;100
R919;1020;300;30;80
R920;710;30;10;120
R921;3910;20;20;80
R922;2440;210;10;120
R923;3590;170;50;100
R924;2520;210;50;120
R925;3040;210;10;100
R926;840;40;30;80
R927;2650;300;10;80
R928;2190;290;30;120
R929;2130;230;40;80
R930;3480;90;10;100
R931;3810;230;40;100
R932;3570;290;40;100
R933;850;260;20;100
R934;2990;130;10;80
R935;2110;140;30;80
R936;3900;290;10;120
R937;580;140;40;80
R938;560;130;10;80
R939;810;130;30;80
R940;1920;200;20;100
R941;1400;10;30;120
R942;2290;270;20;80
R943;3510;290;40;80
R944;570;20;50;100
R945;3320;200;40;120
R946;2380;30;30;100
R947;2960;240;30;120
R948;980;190;10;120
R949;2400;200;50;80
R950;3650;110;50;120
R951;2780;240;40;80
R952;3680;240;30;120
R953;540;300;30;100
R954;3510;40;10;120
R955;2130;250;10;80
R956;1890;80;10;120
R957;2190;50;40;80
R958;860;270;40;100
R959;1870;260;10;120
R960;1540;50;30;120
R961;2400;290;50;100
R962;3510;300;20;100
R963;2440;190;10;100
R964;3950;0;20;100
R965;3140;240;30;80
R966;2700;280;50;100
R967;710;160;30;80
R968;3510;130;20;120
R969;1670;180;30;80
R970;2590;220;50;120
R971;1670;240;10;100
R972;3650;20;30;120
R973;630;70;20;120
R974;2670;220;30;100
R975;640;280;30;120
R976;3770;260;40;100
R977;1060;60;40;100
R978;1010;190;20;80
R979;2310;80;20;120
R980;540;300;50;120
R981;3480;200;50;100
R982;900;290;40;120
R983;1150;280;50;80
R984;1210;260;20;100
R985;2800;90;20;80
R986;830;210;40;100
R987;1530;150;40;120
R988;1210;70;20;120
R989;2830;120;30;80
R990;2400;80;10;120
R991;3020;90;40;120
R992;3090;280;50;80
R993;3620;180;10;120
R994;3110;90;40;80
R995;630;190;30;120
R996;2210;70;10;100
R997;1940;50;50;100
R998;980;170;40;100
R999;1560;230;50;80
R1000;2010;60;50;120
R1001;1450;50;30;80
R1002;2090;150;40;100
R1003;1270;260;10;120
R1004;800;130;30;80
R1005;1140;240;50;120
R1006;660;120;40;80
R1007;3230;60;50;80
R1008;660;90;40;120
R1009;2680;240;10;80
R1010;2540;200;10;120
R1011;3660;240;20;100
R1012;3460;180;50;100
R1013;3950;0;30;100
R1014;3230;260;50;120
R1015;1490;270;30;120
R1016;1210;0;30;80
R1017;1970;10;30;120
R1018;2280;30;20;80
R1019;1240;290;10;100
R1020;1020;60;10;100
R1021;2410;30;40;120
R1022;3270;0;30;120
R1023;3610;140;30;100
R1024;1350;0;50;80
R1025;2080;290;20;100
R1026;3080;80;10;80
R1027;3920;140;20;120
R1028;1710;70;40;80
R1029;2410;30;10;100
R1030;2580;90;20;120
R1031;3340;110;10;120
R1032;1510;180;30;80
R1033;3650;0;40;100
R1034;3080;280;40;100
R1035;2930;90;20;80
R1036;1320;180;10;100
R1037;2020;280;20;80
R1038;1560;140;20;80
R1039;2630;70;30;120
R1040;2260;0;40;80
R1041;2290;150;40;100
R1042;2130;180;30;120
R1043;710;100;50;100
R1044;1070;40;10;120
R1045;880;140;10;80
R1046;3790;50;30;120
R1047;830;100;50;120
R1048;2820;270;40;100
R1049;3860;300;50;100
R1050;3960;140;20;100
R1051;1620;140;50;100
R1052;1140;80;20;120
R1053;1510;150;50;100
R1054;1600;250;10;100
R1055;970;220;50;120
R1056;3750;290;10;120
R1057;650;120;20;80
R1058;600;260;50;120
R1059;2540;60;40;100
R1060;2730;40;50;120
R1061;700;10;10;120
R1062;2550;70;10;120
R1063;2050;90;20;100
R1064;2010;270;40;100
R1065;1730;250;50;120
R1066;2030;130;10;80
R1067;2450;250;30;120
R1068;1310;130;10;100
R1069;3020;280;50;80
R1070;1160;170;10;120
R1071;1030;50;10;120
R1072;1450;40;10;100
R1073;990;180;20;100
R1074;3430;150;30;80
R1075;3710;40;10;120
R1076;740;60;30;120
R1077;2800;210;50;100
R1078;2450;270;50;100
R1079;3330;0;10;80
R1080;3440;200;40;80
R1081;3330;230;20;100
R1082;1820;170;30;100
R1083;2170;0;10;80
R1084;840;220;50;80
R1085;1810;200;40;120
R1086;2430;260;30;120
R1087;1230;20;50;80
R1088;2070;100;40;120
R1089;2890;60;30;80
R1090;2840;30;30;120
R1091;2830;50;20;100
R1092;3300;270;20;120
R1093;520;50;40;120
R1094;950;120;20;80
R1095;3730;160;30;120
R1096;3080;140;10;80
R1097;790;70;10;80
R1098;2420;90;40;120
R1099;3110;220;30;80
R1100;3350;100;20;80
R1101;1160;270;30;80
R1102;3830;90;10;120
R1103;2990;70;20;100
R1104;640;270;50;100
R1105;1930;70;10;80
R1106;620;40;50;100
R1107;2290;160;20;80
R1108;2530;240;30;80
R1109;3790;10;10;120
R1110;2840;190;10;120
R1111;2540;160;10;100
R1112;680;180;20;80
R1113;3630;200;50;80
R1114;2120;70;20;80
R1115;1740;70;30;100
R1116;3300;20;40;80
R1117;2890;0;50;80
R1118;3260;230;50;80
R1119;1700;20;10;80
R1120;3590;280;50;120
R1121;1340;250;30;120
R1122;1100;300;10;80
R1123;700;80;30;120
R1124;720;230;20;100
R1125;2640;130;50;120
R1126;3560;190;50;120
R1127;2500;300;50;100
R1128;2520;60;40;100
R1129;1110;180;10;100
R1130;3350;210;10;100
R1131;2900;190;10;120
R1132;2030;280;40;100
R1133;2350;110;50;80
R1134;2090;300;20;100
R1135;3180;290;10;100
R1136;720;220;40;100
R1137;1500;150;10;120
R1138;1370;180;50;100
R1139;1010;90;40;120
R1140;2360;70;30;80
R1141;3770;170;20;80
R1142;840;70;50;80
R1143;3200;120;50;80
R1144;1530;300;40;80
R1145;1460;240;30;80
R1146;3970;140;50;80
R1147;1800;300;40;100
R1148;2810;0;50;80
R1149;2050;250;30;100
R1150;2080;130;50;100
R1151;3690;90;10;120
R1152;3010;10;40;80
R1153;3880;30;30;100
R1154;1440;150;30;80
R1155;3960;30;40;100
R1156;720;70;50;80
R1157;1710;250;40;120
R1158;2580;300;30;120
R1159;1840;250;40;100
R1160;1220;170;30;100
